X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,ANGLE,FL_DESC,GlobalID
-2.010283186756384,51.352752190324885,1336,KA-087-007,"Lock 47, Manifold Lock",KA-08765,010,176,"KA-087-007 Lock 47, Manifold Lock",bfd7dda4-0683-4bbe-a028-40abc91dc03b
-2.012878955906426,51.352626266560485,1337,KA-088-001,"Lock 46, A P Herbert Lock",KA-08783,010,177,"KA-088-001 Lock 46, A P Herbert Lock",0e9d89ef-4bf2-496f-b4d1-2a16ae095860
-2.015463836576916,51.352552817089418,1338,KA-088-002,"Lock 45, Cave Lock",KA-08801,010,177,"KA-088-002 Lock 45, Cave Lock",e978e83c-6b13-4774-b7b1-1d89229885ac
-2.017997884280419,51.352480260087653,1339,KA-088-005,"Lock 44, Sir Hugh Stockwell",KA-08819,010,177,"KA-088-005 Lock 44, Sir Hugh Stockwell",28edcb57-a8ed-4c6a-9edd-f6fa9b34d06d
-2.019049758477508,51.352465787945121,1340,KA-088-009,"Lock 43, Queen Elizabeth Lock",KA-08836,010,178,"KA-088-009 Lock 43, Queen Elizabeth Lock",07d5ac63-70a8-4f1f-abeb-1a5c76c69339
-2.019985739223193,51.35242711269823,1341,KA-088-010,"Lock 42, Monument Lock",KA-08838,010,178,"KA-088-010 Lock 42, Monument Lock",b99a3a5b-ae7e-4ee7-a8d9-6457a4081cce
-2.020942524950855,51.352398824772635,1342,KA-088-011,"Lock 41, Devizes Lock",KA-08839,010,178,"KA-088-011 Lock 41, Devizes Lock",035067fe-826f-49a9-8e93-7e691d0aa9ce
-2.021872125861355,51.35237285834684,1343,KA-088-012,"Lock 40, Devizes Lock",KA-08845,010,178,"KA-088-012 Lock 40, Devizes Lock",14f04cc8-b172-4f01-8444-e9f0dfcd48e2
-2.02282002186094,51.352347217861428,1344,KA-088-013,"Lock 39, Devizes Lock",KA-08853,010,177,"KA-088-013 Lock 39, Devizes Lock",1179f135-59ed-439f-bc3c-8063127b80f8
-2.023737931198049,51.352322110335031,1345,KA-088-014,"Lock 38, Devizes Lock",KA-08859,010,177,"KA-088-014 Lock 38, Devizes Lock",7c125dfe-e6b8-4b9a-9e5c-3cf2aeccdc26
-2.024665788478616,51.352302756665821,1346,KA-088-015,"Lock 37, Devizes Lock",KA-08865,010,177,"KA-088-015 Lock 37, Devizes Lock",dfc731b1-a3f9-4b29-8391-edb6ce1059dd
-2.025593360094906,51.352271950782423,1347,KA-088-016,"Lock 36, Devizes Lock",KA-08872,010,177,"KA-088-016 Lock 36, Devizes Lock",6909d210-5234-4fe5-9bcf-583a4a16be9e
-2.040273940183373,51.352806059929286,1348,KA-089-014,"Lock 26, Devizes Lock",KA-08974,010,193,"KA-089-014 Lock 26, Devizes Lock",4075bd4d-2dc8-428e-a601-4811abcc344a
-2.037959290716671,51.352512536270325,1349,KA-089-013,"Lock 27, Marsh Lane Lock",KA-08958,010,191,"KA-089-013 Lock 27, Marsh Lane Lock",175b06a3-e3fb-40db-94df-6a1621f4da95
-2.02652933904393,51.352245853004746,1350,KA-089-001,"Lock 35, Devizes Lock",KA-08880,010,177,"KA-089-001 Lock 35, Devizes Lock",0c21e55b-5f21-491c-bfd2-5d97841d2aa0
-2.034574018314561,51.352171279748923,1351,KA-089-010,"Lock 28, Devizes Lock",KA-08932,010,190,"KA-089-010 Lock 28, Devizes Lock",3b2b4073-c968-4c62-81e6-b8beb12b6456
-2.027468471079633,51.352218922088802,1352,KA-089-002,"Lock 34, Devizes Lock",KA-08886,010,178,"KA-089-002 Lock 34, Devizes Lock",8a199abd-eb84-4f3c-9396-542b730248d8
-2.028417414514835,51.352185973589847,1353,KA-089-003,"Lock 33, Lloyds Lock",KA-08892,010,177,"KA-089-003 Lock 33, Lloyds Lock",72cb54fa-8e49-4ffc-8355-cfaeceb387ca
-2.031275122520259,51.352106763346804,1354,KA-089-008,"Lock 30, Devizes Lock",KA-08910,010,178,"KA-089-008 Lock 30, Devizes Lock",6f7f0b7e-f1da-48da-a40d-a9058c47a0c9
-2.032202834273729,51.352076614294994,1355,KA-089-009,"Lock 29, Devizes Lock",KA-08916,010,178,"KA-089-009 Lock 29, Devizes Lock",8bb48b14-d91a-4d0b-9c9b-67e084278c1b
-2.02934906627914,51.352159436479397,1356,KA-089-004,"Lock 32, Devizes Lock",KA-08898,010,178,"KA-089-004 Lock 32, Devizes Lock",f26d1c9e-f0d3-4397-9a4b-27ec45ce5621
-2.030351861919007,51.35213677661033,1357,KA-089-006,"Lock 31, Devizes Lock",KA-08904,010,176,"KA-089-006 Lock 31, Devizes Lock",4822abe9-c565-4d98-83bb-98942b32e3c1
-2.050433299446893,51.354239718438819,1358,KA-090-006,"Lock 22, Lower Foxhangers Lock",KA-09047,010,167,"KA-090-006 Lock 22, Lower Foxhangers Lock",c5531154-a0fe-463b-b2be-2e01155d2c4a
-2.046391409776046,51.35391826928835,1359,KA-090-004,"Lock 23, Foxhangers Lock",KA-09018,010,199,"KA-090-004 Lock 23, Foxhangers Lock",d771ef4e-7c93-4f4a-92b8-1194978e1d78
-2.043673202947746,51.353363610906278,1360,KA-090-002,"Lock 24, Devizes Lock",KA-08998,010,198,"KA-090-002 Lock 24, Devizes Lock",87d2147d-1f6c-482f-add9-f99e769b74fd
-2.041964526428952,51.353067323330144,1361,KA-090-001,"Lock 25, Devizes Lock",KA-08995,010,196,"KA-090-001 Lock 25, Devizes Lock",d1655f36-8b11-4213-98a4-abe71235ea6e
-2.091580750511935,51.352306868977564,1362,KA-093-006,"Lock 21, Seend Lock",KA-09340,010,160,"KA-093-006 Lock 21, Seend Lock",906a807b-bb07-4875-b543-f2d307512783
-2.094584158069923,51.351673869330611,1363,KA-093-008,"Lock 20, Seend Lock",KA-09364,010,160,"KA-093-008 Lock 20, Seend Lock",257ea1fb-ff30-47be-b834-6e84e8e9e92c
-2.105831665501694,51.351803572012003,1364,KA-094-005,"Lock 17, Seend Bottom Lock",KA-09441,010,186,"KA-094-005 Lock 17, Seend Bottom Lock",85cabfb4-b445-4bbf-ad48-c41fd145d9fb
-2.100925674680977,51.351566686746828,1365,KA-094-003,"Lock 18, Seend Lock",KA-09407,010,184,"KA-094-003 Lock 18, Seend Lock",2b51f4c9-44db-43d6-8c37-5c7c129e29be
-2.097490569136783,51.351416102773698,1366,KA-094-001,Lock 19. Seend Lock,KA-09382,010,184,KA-094-001 Lock 19. Seend Lock,c98fb872-eb8f-485d-a109-4800d85627ac
-2.143829434534375,51.347977847267146,1367,KA-097-002,"Lock 15, Semington Lock",KA-09726,010,192,"KA-097-002 Lock 15, Semington Lock",34b3a45e-5231-4142-8623-39fbfc2b1472
-0.973639128490762,51.451142769424166,1382,KA-001-010,"Lock 106, County Lock",KA-00204A,010,305,"KA-001-010 Lock 106, County Lock",eda9b060-d136-426c-9518-dd893326695c
-0.986259419780196,51.434445520143306,1383,KA-004-002,"Lock 105, Fobney Lock",KA-00477,010,17,"KA-004-002 Lock 105, Fobney Lock",03504958-40e2-4af0-927c-e7e2e43618de
-1.004529498860731,51.435990786409668,1384,KA-005-004,"Lock 104, Southcote Lock",KA-00610,010,352,"KA-005-004 Lock 104, Southcote Lock",09040492-6ddb-4d00-b2d1-b42b209d15bf
-1.032383863607673,51.433188017895311,1385,KA-007-003,"Lock 103, Burghfield Lock",KA-00817,010,18,"KA-007-003 Lock 103, Burghfield Lock",7dc75506-efcb-48a6-bbb2-9040498da5c8
-1.058001176260456,51.431930159564189,1386,KA-009-002,"Lock 102, Garston Lock",KA-01016,010,340,"KA-009-002 Lock 102, Garston Lock",30d2d309-2ce8-44bb-8d3f-539d1ad63ad7
-1.068745227382845,51.430896921987028,1387,KA-010-001,"Lock 101, Sheffield Lock",KA-01094,010,335,"KA-010-001 Lock 101, Sheffield Lock",b53c430e-a4c2-4fa4-a34b-19e10e68e59c
-1.0848698807316,51.424673002769111,1388,KA-011-002,"Lock 100, Sulhamstead Lock",KA-01230,010,333,"KA-011-002 Lock 100, Sulhamstead Lock",51577c63-83b4-48a3-abc6-2ff97908b021
-1.100582399604403,51.418531169281607,1389,KA-013-009,"Lock 99, Tyle Mill Lock",KA-01368,010,319,"KA-013-009 Lock 99, Tyle Mill Lock",570ddc63-3297-4dbc-97db-5b565b060624
-1.113289571456517,51.413355708180177,1390,KA-014-004,"Lock 98, Ufton Lock",KA-01475,038,336,"KA-014-004 Lock 98, Ufton Lock",18b53975-e6d2-4a94-8744-b30bd2583989
-1.517832363370919,51.416830839875999,1391,KA-045-003,"Lock 74, Hungerford Lock",KA-04561,010,8,"KA-045-003 Lock 74, Hungerford Lock",8e3b4e48-6fa7-428a-aec2-86082f970180
-1.532293548815872,51.414857181948079,1392,KA-046-001,"Lock 73, Hungerford Marsh Lock",KA-04639,010,355,"KA-046-001 Lock 73, Hungerford Marsh Lock",4371721d-85c1-4669-a9de-49df25b28a9b
-2.444681488036794,51.41817243404941,1393,KA-132-003,"Lock 3, Swineford Lock",KA-13233,010,194,"KA-132-003 Lock 3, Swineford Lock",3e808bb0-1ab2-4be0-b4aa-d749f780e299
-2.492017434890784,51.419728306849336,1394,KA-136-008,"Lock 2, Keynsham Lock",KA-13635,010,235,"KA-136-008 Lock 2, Keynsham Lock",03ce3208-f2c7-48c6-9ba4-93c199c984c0
-2.510166968145013,51.428533074733217,1395,KA-139-005,"Lock 1, Hanham Lock",KA-13941,010,223,"KA-139-005 Lock 1, Hanham Lock",57626d0d-7a7e-44e0-be4e-b91c5bd0520c
-1.124474124054868,51.407794553822491,1396,KA-015-002,"Lock 97, Towney Lock",KA-01579,010,279,"KA-015-002 Lock 97, Towney Lock",d7631c89-f47e-4ea0-b6c9-356a54f4552b
-1.130327517700097,51.400688097249329,1397,KA-016-001,"Lock 96, Padworth Middle Lock",KA-01684,010,353,"KA-016-001 Lock 96, Padworth Middle Lock",65f12a00-23e8-48e8-8ec9-6ad4f7eac7a2
-1.137448573450082,51.400199966091627,1398,KA-016-011,"Lock 95, Aldermaston Lock",KA-01734,010,353,"KA-016-011 Lock 95, Aldermaston Lock",b3d56be8-3a00-458e-b6a2-1e945deddbf1
-1.180175326564974,51.395353348650758,1399,KA-020-004,"Lock 94, Woolhampton Lock",KA-02072,010,14,"KA-020-004 Lock 94, Woolhampton Lock",98a7f647-6c4c-409e-a4ab-bc971d8b179f
-1.193851166161026,51.393311209419153,1400,KA-021-002,"Lock 93, Heales Lock",KA-02173,010,346,"KA-021-002 Lock 93, Heales Lock",2d4622b4-f0c7-4ced-87d9-b1b76d98f844
-1.210044079793258,51.39281423006689,1401,KA-022-002,"Lock 92, Midgham Lock",KA-02285,010,3,"KA-022-002 Lock 92, Midgham Lock",7e2468e5-afcb-4cb7-85d4-107176a92a04
-1.226686861634954,51.393656142474505,1402,KA-023-007,"Lock 91, Colthrop Lock",KA-02408,010,360,"KA-023-007 Lock 91, Colthrop Lock",0dc331e8-d2c7-44eb-beb6-7099ac5bb1e4
-1.247894558357016,51.392615468428296,1403,KA-025-002,"Lock 90, Monkey Marsh Lock",KA-02557,010,343,"KA-025-002 Lock 90, Monkey Marsh Lock",384b009c-a05d-40be-a3e6-79fb47171e11
-1.27135483814619,51.393265151820053,1404,KA-026-001,"Lock 89, Widmead Lock",KA-02720,010,4,"KA-026-001 Lock 89, Widmead Lock",0502b675-6aa6-4758-909e-f30a9605d060
-1.285133278822394,51.397149978052781,1405,KA-027-005,"Lock 88, Bulls Lock",KA-02826,010,31,"KA-027-005 Lock 88, Bulls Lock",402060cc-784f-4c9f-901e-5ae3624c8322
-1.312256275689193,51.403029550839996,1406,KA-029-008,"Lock 86, Greenham Lock",KA-03034,010,349,"KA-029-008 Lock 86, Greenham Lock",fa83f71a-fc60-49cf-a2aa-7ad24e5dc265
-1.301137094392387,51.402200230828363,1407,KA-029-001,"Lock 87, Ham Lock",KA-02955,010,19,"KA-029-001 Lock 87, Ham Lock",59935cbd-310d-4dd8-8250-36223f837221
-1.325290370524353,51.401490334819442,1408,KA-030-017,"Lock 85, Newbury Lock",KA-03195,010,346,"KA-030-017 Lock 85, Newbury Lock",876f71f0-e55b-4d24-9848-34d9925a7530
-1.347423367921676,51.39941364054156,1409,KA-032-002,"Lock 84, Guyers Lock",KA-03296,010,346,"KA-032-002 Lock 84, Guyers Lock",75db06be-cbbe-4694-9de1-ef57cdd2a87b
-1.357841020677158,51.398035779142276,1410,KA-033-002,"Lock 83, Higgs Lock",KA-03370,010,353,"KA-033-002 Lock 83, Higgs Lock",0e420a46-c567-4b3d-b372-4df885845c1b
-1.369984744928562,51.396399364051092,1411,KA-034-002,"Lock 82, Benham Lock",KA-03458,010,2,"KA-034-002 Lock 82, Benham Lock",bd764a8e-f1e4-4f70-915f-dde7e6554c03
-1.39276989227269,51.400872137751819,1412,KA-035-003,"Lock 81, Hamstead Lock",KA-03627,010,1,"KA-035-003 Lock 81, Hamstead Lock",39ece475-dbfc-403e-a364-2d1fa44e7693
-1.401805658541786,51.400841618411093,1413,KA-036-003,"Lock 80, Copse Lock",KA-03687,010,1,"KA-036-003 Lock 80, Copse Lock",66bf595e-2fc0-4b81-b3a2-670cdb1a067b
-1.411592814342033,51.402832858331195,1414,KA-037-003,"Lock 79, Dreweatts Lock",KA-03763,010,8,"KA-037-003 Lock 79, Dreweatts Lock",310fd0dd-3f3d-424d-8f89-ca22108e74e3
-1.446881657041595,51.402114786165612,1415,KA-039-008,"Lock 78, Kintbury Lock",KA-04009,010,356,"KA-039-008 Lock 78, Kintbury Lock",33bf0841-b9f0-424d-ac71-7239708dceb7
-1.467544154539652,51.405907240758317,1416,KA-041-002,"Lock 77, Brunsden Lock",KA-04163,010,31,"KA-041-002 Lock 77, Brunsden Lock",d895661e-9054-4a0f-97ad-8639d2bfae4c
-1.479944682876263,51.410418938667874,1417,KA-042-002,"Lock 76, Wire Lock",KA-04263,010,10,"KA-042-002 Lock 76, Wire Lock",f2ce6d2d-efe4-49fa-9333-64386a76a4ae
-1.496024932500524,51.41170307768418,1418,KA-043-002,"Lock 75, Dunmill Lock",KA-04275,010,3,"KA-043-002 Lock 75, Dunmill Lock",62fd5419-43e6-4953-b9c5-657123a6c612
-1.539284087439904,51.41407403412709,1419,KA-046-004,"Lock 72, Cobblers Lock",KA-04692,010,338,"KA-046-004 Lock 72, Cobblers Lock",61439379-a385-49c3-a674-fc14fab372d2
-1.548164056194298,51.411001326992093,1420,KA-047-003,"Lock 71, Picketsfield",KA-04774,010,20,"KA-047-003 Lock 71, Picketsfield",4dc70460-f81a-4bf3-881a-4a91e0a16899
-1.565490215218733,51.407424017983544,1421,KA-048-004,"Lock 70, Froxfield Bottom Lock",KA-04894,010,326,"KA-048-004 Lock 70, Froxfield Bottom Lock",91c37246-0cc3-4641-9f7c-8d5a4b914108
-1.568535515709994,51.404962282112677,1422,KA-049-001,"Lock 69, Froxfield Top Lock",KA-04927,010,294,"KA-049-001 Lock 69, Froxfield Top Lock",7498bc67-efdf-41a8-ae77-1ae94d4d64ef
-1.57097033640551,51.402595382366833,1423,KA-049-004,"Lock 68, Oakhill Down Lock",KA-04960,010,310,"KA-049-004 Lock 68, Oakhill Down Lock",0c998120-37d0-4968-ae83-ecfb96f8c76d
-1.583658500804539,51.39201464862073,1424,KA-050-004,"Lock 67, Little Bedwyn Lock",KA-05106,010,303,"KA-050-004 Lock 67, Little Bedwyn Lock",021537b3-52d7-4067-a35d-3a7a77528726
-1.586799741368142,51.387609204915698,1425,KA-051-002,"Lock 66, Potters Lock",KA-05158,010,298,"KA-051-002 Lock 66, Potters Lock",ee91314e-a4f1-4fc7-84d7-616c55f9014c
-1.594224733111379,51.382377999837665,1426,KA-052-001,"Lock 65, Burnt Mill Lock",KA-05235,010,318,"KA-052-001 Lock 65, Burnt Mill Lock",2692d1fb-d969-4c6b-bab5-5ce60ee7d0b8
-1.60174084546543,51.375555211994651,1427,KA-053-004,"Lock 64, Church Lock",KA-05330,010,300,"KA-053-004 Lock 64, Church Lock",55bd6363-3ace-41e7-a93b-0f4217869d64
-1.611340471661938,51.367331813365617,1428,KA-054-002,"Lock 63, Beech Grove Lock",KA-05445,010,322,"KA-054-002 Lock 63, Beech Grove Lock",d7fe6eab-807c-4363-aa73-94e483d8fca5
-1.615598885858972,51.364777476952263,1429,KA-054-005,"Lock 62, Longmans Cottage",KA-05486,010,312,"KA-054-005 Lock 62, Longmans Cottage",09df8e85-3fc0-4f52-9944-5ad4e2bcdc50
-1.622144313751302,51.360623687755194,1430,KA-055-004,"Lock 61, Crossing Lock",KA-05554,010,310,"KA-055-004 Lock 61, Crossing Lock",d061c61f-68dc-4870-ac81-d530b0d4ff17
-0.954543497664135,51.456101873362101,1434,KA-001-002,"Lock 107, Blakes Lock",KA-00001A,010,0,"KA-001-002 Lock 107, Blakes Lock",5ee148fc-424e-41e7-b70f-555148c142ca
